ID,GEO,HOUSEHOLD_TOTAL,FAM_TOTAL,MARRIED_FAM,FAM_TOTAL,HOUSEHOLD_MEDIAN,FAM_MEDIAN,MARRIED_FAM_MEDIAN,NON_FAM_MEDIAN,HOUSEHOLD_MEAN,FAM_MEAN,NON_FAM_MEAN
37001,"Alamance County, North Carolina",62053,41098,29254,20955,43209,54263,69586,25363,59084,70653,33706
37003,"Alexander County, North Carolina",13796,9353,7333,4443,40404,51893,62134,20518,52750,63161,28539
37005,"Alleghany County, North Carolina",4798,3469,2820,1329,38352,45244,50136,18165,47715,56093,23965
37007,"Anson County, North Carolina",9511,6132,3915,3379,34656,42500,58098,21238,45101,52266,29096
37009,"Ashe County, North Carolina",11905,8260,6364,3645,37360,47509,54464,18448,50702,59004,29961
37011,"Avery County, North Carolina",6756,4420,3640,2336,35891,46516,51374,18713,56130,66309,35827
37013,"Beaufort County, North Carolina",19021,12383,9319,6638,40906,51959,62535,19851,55513,66070,34436
37015,"Bertie County, North Carolina",7673,4819,3006,2854,31129,41704,57438,17056,42295,53656,22456
37017,"Bladen County, North Carolina",14110,9190,5909,4920,30408,41122,52655,16756,45075,55050,24351
37019,"Brunswick County, North Carolina",50562,34669,27631,15893,49356,59436,69166,27731,64902,76238,38139
37021,"Buncombe County, North Carolina",102118,60222,47009,41896,46902,60556,69809,29920,65336,79415,42937
37023,"Burke County, North Carolina",34199,22605,16250,11594,39759,49962,59283,21527,51240,60740,30412
37025,"Cabarrus County, North Carolina",68289,50320,39294,17969,58970,70368,81455,33809,75566,85914,43820
37027,"Caldwell County, North Carolina",31912,21192,15799,10720,37118,49762,57236,20188,50250,60922,27151
37029,"Camden County, North Carolina",3804,2998,2369,806,60714,70822,77983,23553,70637,78153,38793
37031,"Carteret County, North Carolina",29563,19205,14722,10358,50599,62603,72877,31248,66223,78481,41076
37033,"Caswell County, North Carolina",8874,6165,4304,2709,38310,48183,58026,17954,49154,57233,28544
37035,"Catawba County, North Carolina",59710,41101,31037,18609,45450,56497,66322,26857,61516,72097,36055
37037,"Chatham County, North Carolina",27397,18821,15399,8576,58555,71990,83446,29337,83527,100080,44791
37039,"Cherokee County, North Carolina",10857,7181,5620,3676,35284,45100,49740,21694,44790,52161,29438
37041,"Chowan County, North Carolina",5931,4197,2923,1734,41156,47605,65542,22841,53796,60134,36846
37043,"Clay County, North Carolina",4666,3055,2640,1611,36296,45906,49329,23318,50971,55957,41176
37045,"Cleveland County, North Carolina",37178,24792,17590,12386,39134,49073,60218,21393,51408,61525,29062
37047,"Columbus County, North Carolina",22108,14143,9136,7965,35847,47048,58732,19634,52285,62657,31785
37049,"Craven County, North Carolina",40609,27665,20789,12944,47957,55998,65153,29958,61466,70848,39652
37051,"Cumberland County, North Carolina",123178,79528,53278,43650,44810,52339,65791,30933,57872,65814,40967
37053,"Currituck County, North Carolina",9582,7082,5867,2500,61086,74304,80792,31781,73173,82070,44292
37055,"Dare County, North Carolina",14706,9638,7649,5068,54787,63667,72050,38076,68873,79892,45506
37057,"Davidson County, North Carolina",64064,44526,33597,19538,44469,54909,64337,26528,58052,67231,34703
37059,"Davie County, North Carolina",15646,11075,8863,4571,51662,60516,70261,25532,71900,83780,40291
37061,"Duplin County, North Carolina",21770,15073,10388,6697,35364,42587,54860,19206,47131,53694,29994
37063,"Durham County, North Carolina",118681,69119,46841,49562,54093,70724,92748,38542,76544,93026,51499
37065,"Edgecombe County, North Carolina",21103,14186,7926,6917,32298,40764,61215,19416,45037,51583,28373
37067,"Forsyth County, North Carolina",144898,91501,64841,53397,46283,60366,76843,30033,68076,81077,43958
37069,"Franklin County, North Carolina",23719,16360,12153,7359,44272,53788,65167,26777,57057,65605,35660
37071,"Gaston County, North Carolina",79904,53998,37924,25906,44288,53954,68672,24547,60213,69713,37703
37073,"Gates County, North Carolina",4524,3320,2517,1204,51582,60781,69446,27750,60720,69174,33822
37075,"Graham County, North Carolina",3252,2248,1801,1004,34778,47188,52301,19462,45699,52300,30414
37077,"Granville County, North Carolina",20527,14240,9898,6287,50317,59521,74210,28798,62315,72132,37440
37079,"Greene County, North Carolina",7215,5002,3352,2213,37190,50981,61318,20200,50507,60653,25698
37081,"Guilford County, North Carolina",200298,127106,86791,73192,46896,59701,78013,30614,68153,81878,42253
37083,"Halifax County, North Carolina",21354,13831,8052,7523,32549,41656,59808,17731,47812,55953,31305
37085,"Harnett County, North Carolina",43036,31129,23043,11907,47930,56496,67088,26927,59353,67350,35784
37087,"Haywood County, North Carolina",26296,17114,13227,9182,43097,55115,64161,25862,58767,69981,34832
37089,"Henderson County, North Carolina",46985,30633,24883,16352,48138,59490,66447,28230,61103,72063,38755
37091,"Hertford County, North Carolina",8706,5572,3510,3134,34523,44369,58295,17771,45835,56770,25965
37093,"Hoke County, North Carolina",17343,12559,8574,4784,42704,50415,64019,26202,53198,58995,35666
37095,"Hyde County, North Carolina",1936,1406,1028,530,37741,43143,62171,35278,49853,52874,36036
37097,"Iredell County, North Carolina",61716,44488,33950,17228,53937,64736,76758,31032,74059,85295,41973
37099,"Jackson County, North Carolina",16048,9866,7097,6182,40278,52771,60686,22775,52960,63610,34538
37101,"Johnston County, North Carolina",63219,46313,34542,16906,51980,61739,75372,31016,63567,71174,38553
37103,"Jones County, North Carolina",4141,2832,2041,1309,34080,45574,54730,21157,47097,56216,25376
37105,"Lee County, North Carolina",21349,14637,10661,6712,46402,57288,67786,24488,58622,67599,36822
37107,"Lenoir County, North Carolina",23015,15077,9959,7938,36956,47157,58921,20699,51102,61966,28156
37109,"Lincoln County, North Carolina",30612,22579,17662,8033,49283,59548,70643,27013,67114,77155,36388
